id,text,label
0,"Nasdaq planning \$100m-share sale The owner of the Nasdaq index, an icon of the internet boom, is planning to sell \$100m of shares to the public and list itself on the market it operates.",2
1,"Report urges shuttle mission to service Hubble WASHINGTON: An expert panel on Wednesday recommended sending a manned shuttle mission to repair the aging Hubble Space Telescope, instead of the robotic mission NASA had envisioned.",3
2,"Update 5: Euro Reaches New High Against US Dollar The US dollar fell to another new low against the euro Friday, pushing the European currency higher than \$1.34 after US employment data came in weaker than expected.",0
3,"Franz wins downhill, Guay 13th VAL D #39;ISERE, France (Ticker) -- Blood, sweat and tears finally paid off for Austrian veteran Werner Franz, who on Saturday collected the very first World Cup downhill win of his 14-year career.",1
4,"Creative plans US\$100m advertising campaign for its MP3 players Creative Chairman and CEO Sim Wong Hoo is aiming for a 40 percent share of the global market for MP3 players next year. To achieve its target, the Singapore-based company will ",3
5,"Oracle to nominate four candidates for PeopleSoft board REDWOOD SHORES, Calif. Oracle has announced plans to nominate four candidates for election to rival PeopleSoft #39;s board of directors.",2
6,"Israel Hints at Military Action Vs. Syria (AP) AP - Israel ratcheted up its rhetoric against Syria on Thursday, hinting of possible military action following this week's deadly suicide bombing in southern Israel.",0
7,"Delta clips its wings in Dallas The links between Delta Air Lines and Dallas reach all the way back to the carrier #39;s first passenger flight. On June 17, 1929, a six-seat Delta  quot;Travelair quot; flew from Dallas to Jackson, Miss.",2
8,"Stocks Unchanged, Intel Weighs on Nasdaq  NEW YORK (Reuters) - U.S. stocks were little changed on  Tuesday as a sharp drop in consumer confidence in August  stirred fresh doubt about the economy and expectations for  Intel to pull in its quarterly revenue forecast weighed on  technology stocks.",2
9,"Saudi call for jihad A group of Saudi religious scholars have signed an open letter urging Iraqis to support jihad against US-led forces.  quot;Fighting the occupiers is a duty for all those who are able, quot; they said in a statement posted on the internet at the weekend.",0
10,"Fed Raises Rates for Third Time This Year  WASHINGTON (Reuters) - The U.S. Federal Reserve on Tuesday  raised interest rates for the third time this year by a quarter  of a percentage point and said the economy was regaining  momentum, signaling at least one more to come.",2
11,"Late Bogies Hurt Woods at Rainy NEC Invitational  AKRON, Ohio, Aug 19 (Reuters) - Tiger Woods returned to  form at one of his favorite venues before a pair of dropped  shots cost him a share of the lead at the weather-affected  WGC-NEC Invitational on Thursday.",1
12,"Gannon Sidelined with Fractured Vertebrae  ALAMEDA, Calif. (Sports Network) - Oakland Raiders  quarterback Rich Gannon is expected to be sidelined for at  least six weeks after sustaining fractured vertebrae in his  neck.",1
13,"Kudos to Microsoft for Dual-Core Chip Plans Opinion: The company #39;s decision to keep per-processor licensing for upcoming multicore technology is a win for customers, but of more immediate licensing concern are grid, partitioning and utility computing.",3
14,"Newcastle sack manager Robson Newcastle United Football Club has sacked Sir Bobby Robson, the oldest manager in the English Premier League.  quot;After a disappointing start to the Premier League season, the directors of Newcastle United have ",1
15,"Clarett Implicates Tressel, Ohio State In this week #39;s issue of ESPN The Magazine, controversial running back Maurice Clarett attempts to perform damage control with NFL owners and general managers concerning his image as the 2005 NFL Draft looms on the horizon.",1
16,Lions Gate deal a Marvel (Variety) Variety - Lions Gate Films Intl. has inked to sell foreign distribution rights to the Marvel/Lions Gate slate of animated made-for-DVD features.,3
17,"Singapore: Arafat #39;s death chance for peace Singapore hopes President Yasser Arafat #39;s death will be  quot;an opportunity for a lasting, just and peaceful solution to the Arab-Israeli issue, quot; a spokesman said.",0
